rank,tier,priority_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,avg_buy_usd,sources,tags,provider_tags,token_tags,manual_rating,manual_notes
78,B,114.8,FJTe17tm2ofTRUsnw4TN6nSQSjYhfaw6wFGZRQJDdBZN,https://gmgn.ai/sol/address/FJTe17tm2ofTRUsnw4TN6nSQSjYhfaw6wFGZRQJDdBZN,,,,2,1,1.000,2,1,2,3.9,2026-05-08T08:02:18.000Z,2026-05-08T08:08:34.974Z,138073,0,551.9573547817814,0.481481,53.72458131812777,okx,smart_money,,,,
79,B,114.8,sniper3k3WfE4CqDB5XdCC2S4wVu1kCRaXUPKQ1RKoS,https://gmgn.ai/sol/address/sniper3k3WfE4CqDB5XdCC2S4wVu1kCRaXUPKQ1RKoS,,,,2,2,0.250,8,6,2.73,1,2026-05-10T20:44:08.000Z,2026-05-11T05:34:06.309Z,54000,0,-0.12007110962,0,0.00020330227750329146,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
80,C,114.5,B2fon4BhWGNnUAyqWafLDtZof9kjL8nEBrdgP97WQcuX,https://gmgn.ai/sol/address/B2fon4BhWGNnUAyqWafLDtZof9kjL8nEBrdgP97WQcuX,,,,1,1,0.333,3,3,3,3.9,2026-05-07T19:32:55.000Z,2026-05-08T08:07:29.509Z,139810,0,3683.99696050577,0,0.003362751986668055,gmgn,smart_degen,,,,
81,C,114.5,tuyuNoNBoij3FTkHmjkiEa4d8Nus4bjaCHfKRGgfLEs,https://gmgn.ai/sol/address/tuyuNoNBoij3FTkHmjkiEa4d8Nus4bjaCHfKRGgfLEs,,,,1,1,0.333,3,3,3,1,2026-05-10T05:23:34.000Z,2026-05-11T05:33:58.281Z,119579,0,697.25924439201,0,0.0004606721520051952,gmgn,smart_degen,axiom,bundler|paper_hands,,
82,B,114.3,DSUAixPqvUXFX46SvFm7LRYQkthpJom6XsjZn4vTkKaa,https://gmgn.ai/sol/address/DSUAixPqvUXFX46SvFm7LRYQkthpJom6XsjZn4vTkKaa,Wick李🔶 BNB,SuperL9,Wick李🔶 BNB,2,2,0.400,5,5,1.72,1,2026-05-10T06:18:13.000Z,2026-05-11T05:33:58.286Z,105748,0,96.59009801634,0,0.0004066664166317837,gmgn,renowned,kol|gmgn,paper_hands|bundler,,
83,C,114.2,DphoNsGZMZ1KVDvLitJREiroFeTePL3YogsDKyP28Ztw,https://gmgn.ai/sol/address/DphoNsGZMZ1KVDvLitJREiroFeTePL3YogsDKyP28Ztw,,,,1,1,0.333,3,3,3,1,2026-05-10T20:17:41.000Z,2026-05-11T05:34:06.308Z,28902,0,620.51948308082,0,0.000042032310193426026,gmgn,smart_degen,fresh_wallet|axiom,bundler|paper_hands,,
84,B,114.1,FjE4fajsdxowAohNztHL5MTgUEpNbuSR3QZK6tDVfh5t,https://gmgn.ai/sol/address/FjE4fajsdxowAohNztHL5MTgUEpNbuSR3QZK6tDVfh5t,,,,2,2,0.667,3,3,3,3.9,2026-05-07T18:06:42.000Z,2026-05-08T08:07:29.507Z,105200,0,-4.31056919511,0,0.0004705159175556129,gmgn,smart_degen,,,,
85,C,113.4,99QbDV2M2x2ovjWgEDTdjVkJRi7BJkALSyYmTvBo7rpg,https://gmgn.ai/sol/address/99QbDV2M2x2ovjWgEDTdjVkJRi7BJkALSyYmTvBo7rpg,,,,1,1,0.250,4,4,4,3.9,2026-05-07T02:39:39.000Z,2026-05-08T08:07:29.509Z,131302,0,91.04111980579,0,0.000019699871753248045,gmgn,smart_degen,,,,
86,B,113.1,73f1cxg7cMM52fdLjKXcadKhi7GWV6MSZkWrdq7w7bNM,https://gmgn.ai/sol/address/73f1cxg7cMM52fdLjKXcadKhi7GWV6MSZkWrdq7w7bNM,枯坐p小将,rob02643673_rob,枯坐p小将,2,2,0.400,5,4,1.72,1,2026-05-08T05:28:10.000Z,2026-05-11T05:33:16.181Z,111610,0,18.13889277837,0,0.001150741306909577,gmgn,smart_degen,axiom|photon|trojan|gmgn,paper_hands,,
87,C,113,99i9uVA7Q56bY22ajKKUfTZTgTeP5yCtVGsrG9J4pDYQ,https://gmgn.ai/sol/address/99i9uVA7Q56bY22ajKKUfTZTgTeP5yCtVGsrG9J4pDYQ,Zrool 尔,TheRealZrool,Zrool 尔,1,1,0.200,5,4,1.71,1,2026-05-10T20:11:43.000Z,2026-05-11T05:34:06.311Z,28902,0,76.47334843722,0,0.0002189875828900543,gmgn|okx,renowned|kol,kol|axiom|bullx|wash_trader,bundler|transfer_in|paper_hands,,
