rank,tier,priority_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,avg_buy_usd,sources,tags,provider_tags,token_tags,manual_rating,manual_notes
118,C,105.7,AqSTgWq3tCKRuJCRN3ssVn8cFuQNASVxvpBwaLVmfKgP,https://gmgn.ai/sol/address/AqSTgWq3tCKRuJCRN3ssVn8cFuQNASVxvpBwaLVmfKgP,,,,1,1,0.333,3,3,3,1,2026-05-10T20:10:23.000Z,2026-05-11T05:34:06.307Z,28902,0,22.61382252473,0,0.00013464488648618544,gmgn,smart_degen,axiom|gmgn|padre,bundler|paper_hands,,
119,C,105.5,FAicXNV5FVqtfbpn4Zccs71XcfGeyxBSGbqLDyDJZjke,https://gmgn.ai/sol/address/FAicXNV5FVqtfbpn4Zccs71XcfGeyxBSGbqLDyDJZjke,radiance,radiancebrr,radiance,1,1,1.000,1,1,0.34,1,2026-05-10T20:47:40.000Z,2026-05-11T05:34:06.311Z,28902,0,1120.70456259808,0,0.00008480391263200168,okx|gmgn,kol|renowned,kol|axiom|padre,bundler|paper_hands,,
120,C,105.1,77Uy6sLLggDg9ZB7Yu7xbtCShVTVvJsVNrPdyQFjLVD5,https://gmgn.ai/sol/address/77Uy6sLLggDg9ZB7Yu7xbtCShVTVvJsVNrPdyQFjLVD5,,,,1,1,0.333,3,3,3,1,2026-05-10T20:19:42.000Z,2026-05-11T05:34:06.308Z,28902,0,18.04589165504,0,0.00017627456434541036,gmgn,smart_degen,axiom,bundler|paper_hands,,
121,C,104.9,39RBACr1ijDzQwDUbWBv4cRoDKGxWwCxdJ9udA8Jhu6W,https://gmgn.ai/sol/address/39RBACr1ijDzQwDUbWBv4cRoDKGxWwCxdJ9udA8Jhu6W,,,,1,1,0.250,4,4,1.37,1,2026-05-10T05:47:20.000Z,2026-05-11T05:33:58.279Z,119579,0,-228.65254901248,0,0.001367973528735097,okx|gmgn,smart_money|smart_degen,padre,paper_hands|bundler,,
122,C,104.8,AsVTFhFYxFBUHLXXDKP1SYUnm5G5HAHoprxMYqfiMWT4,https://gmgn.ai/sol/address/AsVTFhFYxFBUHLXXDKP1SYUnm5G5HAHoprxMYqfiMWT4,,,,1,1,0.500,2,2,2,3.9,2026-05-07T03:38:49.000Z,2026-05-08T08:07:21.504Z,131302,5356,1325.3175585582687,0,0.00035297814503339257,gmgn,smart_degen,,,,
123,C,104.8,AtFjYrCLRZMwEXFr4pK3NShq58CGZFXZ21LDeWMUUoF4,https://gmgn.ai/sol/address/AtFjYrCLRZMwEXFr4pK3NShq58CGZFXZ21LDeWMUUoF4,,,,1,1,0.333,3,3,3,1,2026-05-10T20:13:15.000Z,2026-05-11T05:34:06.307Z,28902,0,16.11584785388,0,0.0001958992685119199,gmgn,smart_degen,axiom,bundler|paper_hands,,
124,C,104.7,9asBCQqp2o5BicHWPJZJ1RBh8hKQR76rejKgkQkzNwPy,https://gmgn.ai/sol/address/9asBCQqp2o5BicHWPJZJ1RBh8hKQR76rejKgkQkzNwPy,,,,1,1,0.333,3,3,3,3.9,2026-05-07T02:56:19.000Z,2026-05-08T08:07:21.504Z,131302,0,85.59863182311,0,0.00023388528700460774,gmgn,smart_degen,,,,
125,C,104.7,FZq4muokC9HHf2mLAEiHWrvNVLxs2m8o1e68XU54J8ok,https://gmgn.ai/sol/address/FZq4muokC9HHf2mLAEiHWrvNVLxs2m8o1e68XU54J8ok,,,,1,1,0.333,3,3,3,1,2026-05-10T06:33:47.000Z,2026-05-11T05:33:46.292Z,119579,0,15.09327987354,0,0.0069670052557345655,gmgn,smart_degen,axiom,paper_hands|bundler,,
126,C,104.2,8aXuJ2X76cDF2wfWWfyzGnscbomZt3w15b2vqaPGpCE,https://gmgn.ai/sol/address/8aXuJ2X76cDF2wfWWfyzGnscbomZt3w15b2vqaPGpCE,,,,1,1,0.500,2,2,2,1,2026-05-10T05:29:12.000Z,2026-05-11T05:33:46.295Z,119579,0,197.68337574993,0,0.00010675703601384099,gmgn,smart_degen,axiom,bundler|paper_hands,,
127,C,104.1,2W14ahXD3XBfWJchQ4K5NLXmguWWcTTUTuHDhEzeuvP3,https://gmgn.ai/sol/address/2W14ahXD3XBfWJchQ4K5NLXmguWWcTTUTuHDhEzeuvP3,Veloce,VeloceSVJ,Veloce,1,1,1.000,1,1,0.34,1,2026-05-10T05:32:34.000Z,2026-05-11T05:33:22.267Z,119579,0,668.40333199363,0,0.00018486595156521894,okx|gmgn,kol|renowned,kol|axiom|gmgn,bundler|paper_hands,,
128,C,103.5,AdmuNy6KJgYa8GoJXDqCknBte57WQEf8khQG9iu9cY5,https://gmgn.ai/sol/address/AdmuNy6KJgYa8GoJXDqCknBte57WQEf8khQG9iu9cY5,,,,1,1,0.500,2,2,2,1,2026-05-10T05:30:59.000Z,2026-05-11T05:33:46.296Z,119579,0,147.58212796779,0,0.014075112602598583,gmgn,smart_degen,,bundler|paper_hands,,
129,C,103.4,ARARAw1AL4kKnuwFyU534yoGv5ytexxeVpbcuEvpqi89,https://gmgn.ai/sol/address/ARARAw1AL4kKnuwFyU534yoGv5ytexxeVpbcuEvpqi89,,,,1,1,0.333,3,3,3,3.9,2026-05-07T02:50:54.000Z,2026-05-08T08:07:21.503Z,131302,0,52.18440064821,0,0.00032293253796339904,gmgn,smart_degen,,,,
130,C,103.3,8zws4rkYZGFX7G7uJ8x7WHFh5JLkSb5KePgwSVNkzsxu,https://gmgn.ai/sol/address/8zws4rkYZGFX7G7uJ8x7WHFh5JLkSb5KePgwSVNkzsxu,,,,1,1,0.333,3,3,3,3.9,2026-05-08T05:00:17.000Z,2026-05-08T08:07:33.544Z,91917,0,48.77812329043,0,0.00003123898782233442,gmgn,smart_degen,,,,
131,C,103.1,2xygiSjkrvpc4rNjpg6dzeBhk3wvQaaWRSMAK4x2Tyyn,https://gmgn.ai/sol/address/2xygiSjkrvpc4rNjpg6dzeBhk3wvQaaWRSMAK4x2Tyyn,,,,1,1,0.500,2,2,2,3.9,2026-05-07T13:39:35.000Z,2026-05-08T08:07:21.499Z,131302,0,677.44949410691,0,0.00008608308185947129,gmgn,smart_degen,,,,
132,C,102.5,2g7ucyLawrQ9FZJv22xYZJwsY3DTLHxVnkEqXooUVWyt,https://gmgn.ai/sol/address/2g7ucyLawrQ9FZJv22xYZJwsY3DTLHxVnkEqXooUVWyt,,,,1,1,0.333,3,3,3,1,2026-05-10T05:18:07.000Z,2026-05-11T05:33:58.284Z,119579,0,5.90639773286,0,0.0009606472535675136,gmgn,smart_degen,axiom,bundler|paper_hands,,
133,B,102.3,J3CuQHzVmSvrYSMhvUU2dTsZB9Z4R2UKENyhDiJ5W95K,https://gmgn.ai/sol/address/J3CuQHzVmSvrYSMhvUU2dTsZB9Z4R2UKENyhDiJ5W95K,0x高达,ARICHCOO,0x高达,2,2,0.400,5,5,1.71,1,2026-05-10T05:34:20.000Z,2026-05-11T05:33:46.297Z,134043,0,-3.7791356258776965,0,0.012149452483378387,gmgn,renowned,kol|gmgn,paper_hands|bundler,,
134,B,101.7,8gW5oJqmrDk7Ja8kpTcwba3tDFx4PuexgYg9QdCCZDiM,https://gmgn.ai/sol/address/8gW5oJqmrDk7Ja8kpTcwba3tDFx4PuexgYg9QdCCZDiM,▲lex,AlekssRG,▲lex,2,2,0.286,7,7,2.39,1,2026-05-10T07:41:04.000Z,2026-05-11T05:33:58.285Z,99339,0,0,0,0,gmgn,renowned,kol|gmgn,transfer_in|paper_hands,,
135,C,101.6,HJhZiAKdk9bqWHWMrTkgYGyEmhd25GqdkfRWQEWVQLkx,https://gmgn.ai/sol/address/HJhZiAKdk9bqWHWMrTkgYGyEmhd25GqdkfRWQEWVQLkx,,,,1,1,0.250,4,4,4,3.9,2026-05-07T13:31:45.000Z,2026-05-08T08:07:27.489Z,139810,0,-309.52030728246,0,0.0006246393828687459,gmgn,smart_degen,,,,
136,C,101.3,HZyJNKiMYYgpvd7xK36tGkdG1xf9SkNQjNy8koSDcGyA,https://gmgn.ai/sol/address/HZyJNKiMYYgpvd7xK36tGkdG1xf9SkNQjNy8koSDcGyA,,,,1,1,0.250,4,4,1.37,1,2026-05-06T10:40:04.000Z,2026-05-11T05:33:16.180Z,139810,0,546.023452352,0,0.012002619459304245,gmgn,smart_degen,padre,bundler|paper_hands,,
137,C,100.9,8h4ws6RXbhZTh53ZZLi4hTw61iBMu3KUVouNkdToUXKq,https://gmgn.ai/sol/address/8h4ws6RXbhZTh53ZZLi4hTw61iBMu3KUVouNkdToUXKq,,,,1,1,0.500,2,2,2,1,2026-05-10T20:22:33.000Z,2026-05-11T05:34:06.309Z,28902,0,55.01022989965,0,0.00017147863576535792,gmgn,smart_degen,axiom,bundler|paper_hands,,
138,C,99.9,HoE9o1jw6ewCsorWDe3Wz2XtdSogAcGHtunZuLLt3Dms,https://gmgn.ai/sol/address/HoE9o1jw6ewCsorWDe3Wz2XtdSogAcGHtunZuLLt3Dms,zucc,zuccschini,zucc,1,1,0.500,2,2,0.69,1,2026-05-10T05:46:54.000Z,2026-05-11T05:33:46.292Z,119579,0,-6.2583285049,0,0.0036585150093664262,okx|gmgn,smart_money|smart_degen,,paper_hands,,
139,C,99.4,7VBTpiiEjkwRbRGHJFUz6o5fWuhPFtAmy8JGhNqwHNnn,https://gmgn.ai/sol/address/7VBTpiiEjkwRbRGHJFUz6o5fWuhPFtAmy8JGhNqwHNnn,brox 🧟‍♂️,ohbrox,brox 🧟‍♂️,1,1,0.500,2,2,2,1,2026-05-10T20:15:13.000Z,2026-05-11T05:34:06.311Z,28902,0,216.05018043973,0,0.00017505374389323119,gmgn,renowned,kol|axiom|photon|bullx|padre,bundler|paper_hands,,
140,C,98.9,2fNPNJKE3ny6b5Vo1wdfa7J7KqYNjeyBM3PbGGSJ398r,https://gmgn.ai/sol/address/2fNPNJKE3ny6b5Vo1wdfa7J7KqYNjeyBM3PbGGSJ398r,,,,1,1,0.250,4,4,1.37,1,2026-05-10T20:46:42.000Z,2026-05-11T05:34:06.309Z,28902,0,215.53335001957,0,0.0001873441546484915,gmgn,smart_degen,padre,bundler|paper_hands,,
141,B,98.9,719sfKUjiMThumTt2u39VMGn612BZyCcwbM5Pe8SqFYz,https://gmgn.ai/sol/address/719sfKUjiMThumTt2u39VMGn612BZyCcwbM5Pe8SqFYz,FASHR,FASHRCrypto,FASHR,2,2,1.000,2,2,0.69,1,2026-05-10T20:28:45.000Z,2026-05-11T05:34:06.311Z,54000,0,-298.64362016406,0,0.0001963800326182618,gmgn,renowned,kol|axiom|bullx|padre,paper_hands|bundler,,
142,B,98.9,8E1G1qWQZERejrGLF1ye66cx1xBUGp2Tahh6tTGYsPsB,https://gmgn.ai/sol/address/8E1G1qWQZERejrGLF1ye66cx1xBUGp2Tahh6tTGYsPsB,加密帅,xlxl114,加密帅,2,2,1.000,2,2,0.69,1,2026-05-10T05:10:31.000Z,2026-05-11T05:33:22.267Z,99339,0,-2.02589863529,0,0.00013911012784899418,gmgn,renowned,kol|axiom|gmgn,paper_hands|bundler,,
143,C,98.3,GxBBPPKgEjUEXJTcbnrouUCmHryExLhKFysb3oFQxvZ1,https://gmgn.ai/sol/address/GxBBPPKgEjUEXJTcbnrouUCmHryExLhKFysb3oFQxvZ1,,,,1,1,1.000,1,1,1,1,2026-05-10T06:20:33.000Z,2026-05-11T05:33:22.266Z,119579,3597,3018.10230995782,0,0.00014029833268541033,gmgn,smart_degen,axiom,bundler,,
144,C,98.2,FdLwz7ckqRC3HvqBDREo68pkfK1ZWk3bxwL8VpEtRK5F,https://gmgn.ai/sol/address/FdLwz7ckqRC3HvqBDREo68pkfK1ZWk3bxwL8VpEtRK5F,,,,1,1,1.000,1,1,1,1,2026-05-10T06:20:33.000Z,2026-05-11T05:33:22.264Z,119579,0,2841.956201143,0,0.00014970280469817556,gmgn,smart_degen,axiom,bundler,,
145,C,98,Az7xgPfitG2FyPrfHKW6FWp9H3QH8MuSo8GgD6beWTj2,https://gmgn.ai/sol/address/Az7xgPfitG2FyPrfHKW6FWp9H3QH8MuSo8GgD6beWTj2,,,,1,1,1.000,1,1,1,1,2026-05-10T06:20:33.000Z,2026-05-11T05:33:22.265Z,119579,0,2718.26840896776,0,0.00016482412173189357,gmgn,smart_degen,axiom,bundler,,
146,C,98,Br7KBAcGQ3shoHaTuFrvbkGTxv4oSiMLKMmyVpaXar1t,https://gmgn.ai/sol/address/Br7KBAcGQ3shoHaTuFrvbkGTxv4oSiMLKMmyVpaXar1t,,,,1,1,1.000,1,1,1,1,2026-05-10T06:20:33.000Z,2026-05-11T05:33:22.265Z,119579,0,2663.17622764192,0,0.00015762859428844898,gmgn,smart_degen,axiom,bundler,,
147,C,97.9,56zoeCrehFaXAtJWLGRvdAkED6emPaAVf1Di4AQiJZpk,https://gmgn.ai/sol/address/56zoeCrehFaXAtJWLGRvdAkED6emPaAVf1Di4AQiJZpk,rachaelsacks.eth,RAnSacks,rachaelsacks.eth,1,1,0.250,4,3,1.37,1,2026-05-08T00:20:14.000Z,2026-05-11T05:33:46.296Z,131302,0,-398.2249254943804,0,0.013276950357063867,gmgn|okx,renowned|kol,kol,paper_hands,,
148,C,97.4,8fsKLLtvKNanL4ginCaiRS6UfeemY11rSf8U8fN1dJw4,https://gmgn.ai/sol/address/8fsKLLtvKNanL4ginCaiRS6UfeemY11rSf8U8fN1dJw4,Stigman,Stigman__,Stigman,1,1,0.333,3,3,3,1,2026-05-10T05:20:21.000Z,2026-05-11T05:33:58.285Z,119579,0,-19.06007544989,0,0.000780570911218871,gmgn,smart_degen,axiom|padre,bundler|transfer_in|paper_hands,,
149,C,97.4,CBPMJkXhbRueZeAXVsCNnU3LSMytigzEzGrsJDY4nTHd,https://gmgn.ai/sol/address/CBPMJkXhbRueZeAXVsCNnU3LSMytigzEzGrsJDY4nTHd,,,,1,1,0.333,3,3,3,1,2026-05-10T20:09:52.000Z,2026-05-11T05:34:06.307Z,28902,0,-6.67193329957,0,0.00012911808803706365,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
150,C,97.4,bTiNAiDWsAzuDvqf1vGcv3GuvgLxVvaj76KABoqkJa6,https://gmgn.ai/sol/address/bTiNAiDWsAzuDvqf1vGcv3GuvgLxVvaj76KABoqkJa6,,,,1,1,0.333,3,3,3,1,2026-05-11T00:43:44.000Z,2026-05-11T05:34:06.310Z,28902,0,-349.45508611635,0,0.0000828911883897237,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
151,C,97.3,Hw8stXPYa7pmFaem2qKMRANWUaBfEn4nBpuQpvgAeyVP,https://gmgn.ai/sol/address/Hw8stXPYa7pmFaem2qKMRANWUaBfEn4nBpuQpvgAeyVP,,,,1,1,0.500,2,2,2,1,2026-05-10T20:56:05.000Z,2026-05-11T05:34:06.309Z,28902,0,12.8519380171,0,0.0000972048977160703,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
152,C,97.2,9A4h17UgLGaVws6T1mBxzH5gkG35CUSrTfNgNK5Uj4Rp,https://gmgn.ai/sol/address/9A4h17UgLGaVws6T1mBxzH5gkG35CUSrTfNgNK5Uj4Rp,Cendol 岑铎,Cendolnice,Cendol 岑铎,1,1,0.333,3,3,1.03,1,2026-05-10T09:37:56.000Z,2026-05-11T05:33:22.267Z,119579,0,2596.70298851631,0,0.0006071338963532283,gmgn,renowned,kol|axiom|photon|gmgn,paper_hands|bundler,,
153,C,97.2,B54xDTfSGDBDNdGmsQLA4d8Lxkz5CCwzm19S2maz3A8P,https://gmgn.ai/sol/address/B54xDTfSGDBDNdGmsQLA4d8Lxkz5CCwzm19S2maz3A8P,,,,1,1,0.500,2,2,2,3.9,2026-05-06T10:37:38.000Z,2026-05-08T08:07:27.489Z,139810,0,69.52366576647,0,0.000016121996900222925,gmgn,smart_degen,,,,
154,C,96.5,8DRCemD4qoWjE6YF3oqqRNbZghrK19gKbZ7F6xzEMts,https://gmgn.ai/sol/address/8DRCemD4qoWjE6YF3oqqRNbZghrK19gKbZ7F6xzEMts,,,,1,1,1.000,1,1,1,1,2026-05-10T06:49:33.000Z,2026-05-11T05:33:22.264Z,119579,0,1481.91341816591,0,0.00023727678063120992,gmgn,smart_degen,axiom,bundler,,
155,C,95.3,2UpG5uM1MXGbQG6d57ofaRCG3r9KQYxKtqqWCNJuKifb,https://gmgn.ai/sol/address/2UpG5uM1MXGbQG6d57ofaRCG3r9KQYxKtqqWCNJuKifb,,,,1,1,1.000,1,1,1,1,2026-05-10T20:09:28.000Z,2026-05-11T05:34:06.307Z,28902,0,941.80817914258,0,0.00002161892071212208,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
156,C,94.5,2JLTKcECTybkCEp64v7V4P4FijjKiMgKnFkX2WwRWTM6,https://gmgn.ai/sol/address/2JLTKcECTybkCEp64v7V4P4FijjKiMgKnFkX2WwRWTM6,,,,1,1,0.500,2,2,2,1,2026-05-10T05:27:12.000Z,2026-05-11T05:33:46.293Z,119579,0,3.780141336,0,0.010000734736827346,gmgn,smart_degen,axiom,bundler|paper_hands,,
157,C,94.4,8wq2nhV9YaqTtX3aPMdtmhYrzQyoQCdFpWFNqpySux94,https://gmgn.ai/sol/address/8wq2nhV9YaqTtX3aPMdtmhYrzQyoQCdFpWFNqpySux94,,,,1,1,0.200,5,4,1.71,1,2026-05-10T20:13:15.000Z,2026-05-11T05:34:06.310Z,28902,0,18.13802209409,0,0.00019327098014840767,gmgn,smart_degen,axiom,bundler|paper_hands,,
158,C,94.3,4Vg8eMEQ8hdiFfkwLJnjxDcRTX88TUc8w9hvsokvNS2q,https://gmgn.ai/sol/address/4Vg8eMEQ8hdiFfkwLJnjxDcRTX88TUc8w9hvsokvNS2q,,,,1,1,0.250,4,3,1.37,1,2026-05-10T14:17:40.000Z,2026-05-11T05:33:50.227Z,119579,0,80.26785890166701,0,0.0003079815500276286,gmgn,smart_degen,pump_smart,,,
159,C,93.7,C937MwaPmo2d6zxysoGeEERZZit7EC7H1R3Mem3BfUKZ,https://gmgn.ai/sol/address/C937MwaPmo2d6zxysoGeEERZZit7EC7H1R3Mem3BfUKZ,,,,1,1,1.000,1,1,1,1,2026-05-10T05:39:55.000Z,2026-05-11T05:33:22.264Z,119579,0,507.46741078449,0,0.00027328540980860985,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
160,C,93.1,3gzApubkHv6bA9zvGiBoyRhe6RVY8N6QfehW5fcWinRD,https://gmgn.ai/sol/address/3gzApubkHv6bA9zvGiBoyRhe6RVY8N6QfehW5fcWinRD,,,,1,1,0.333,3,3,3,3.9,2026-05-07T21:35:26.000Z,2026-05-08T08:07:17.477Z,79098,0,-56.8575417518,0,0.0002257719443653062,gmgn,smart_degen,,,,
161,C,93.1,Gs4oiYvTkrcWjg9NsQGEZt7pqFn3sRX43KRZK5j21SEL,https://gmgn.ai/sol/address/Gs4oiYvTkrcWjg9NsQGEZt7pqFn3sRX43KRZK5j21SEL,,,,1,1,0.333,3,3,3,3.9,2026-05-07T00:29:45.000Z,2026-05-08T08:07:29.509Z,139810,0,-79.30847061202,0,0.00021783669982049908,gmgn,smart_degen,,,,
162,C,93.1,teddyYXw7aiNpDuQCeLb2YiBJhqthBid4C54BuWcPxm,https://gmgn.ai/sol/address/teddyYXw7aiNpDuQCeLb2YiBJhqthBid4C54BuWcPxm,,,,1,1,0.333,3,3,3,3.9,2026-05-08T06:07:00.000Z,2026-05-08T08:07:29.509Z,131302,408,-25.67597172948,0,0.0001206417306601024,gmgn,smart_degen,,,,
163,C,92.7,5qWge4zUyQenk53EhAAQ5yP4LWxuvdqJpRBZZbGd4tv9,https://gmgn.ai/sol/address/5qWge4zUyQenk53EhAAQ5yP4LWxuvdqJpRBZZbGd4tv9,Mystayor 兽 💹🧲,Mystayor,Mystayor 兽 💹🧲,1,1,1.000,1,1,0.34,1,2026-05-10T22:21:08.000Z,2026-05-11T05:33:22.266Z,119579,0,7.223041785659849,0,0.000158076853986494,okx|gmgn,kol|renowned,kol|fomo,paper_hands,,
164,C,92.2,HArDKfcLELHAGj37UqBstSe5DzdSZKmFCTxgMbZ4a5Na,https://gmgn.ai/sol/address/HArDKfcLELHAGj37UqBstSe5DzdSZKmFCTxgMbZ4a5Na,,,,1,1,1.000,1,1,0.34,1,2026-05-10T05:11:50.000Z,2026-05-11T05:33:22.261Z,119579,8,0,0,0.0005327985573078071,okx|gmgn,smart_money|smart_degen,axiom,bundler,,
165,C,91.2,7fnSsVNgKwnyPayW4oBP9MNFc5YeTtqEyEhT1Psjqakw,https://gmgn.ai/sol/address/7fnSsVNgKwnyPayW4oBP9MNFc5YeTtqEyEhT1Psjqakw,,,,1,1,0.250,4,4,1.37,1,2026-05-10T20:13:15.000Z,2026-05-11T05:34:06.310Z,28902,0,10.49585148897,0,0.00019754453714453126,gmgn,smart_degen,axiom,bundler|paper_hands,,
166,C,91.2,Bb3cbhXKyHuMv1QQ34SMfhT7QBiZM7ET8udpEcpZGWdR,https://gmgn.ai/sol/address/Bb3cbhXKyHuMv1QQ34SMfhT7QBiZM7ET8udpEcpZGWdR,,,,1,1,1.000,1,1,1,1,2026-05-10T10:52:49.000Z,2026-05-11T05:33:22.265Z,119579,0,192.92963873885,0,0.0007792146975006382,gmgn,smart_degen,axiom,bundler|paper_hands,,
167,C,91.2,HrEdKYvkPwizrPRiFMhgdhbAjxhPX9hFCnqTRVUCWVgz,https://gmgn.ai/sol/address/HrEdKYvkPwizrPRiFMhgdhbAjxhPX9hFCnqTRVUCWVgz,,,,1,1,1.000,1,1,1,3.9,2026-05-07T03:11:52.000Z,2026-05-08T08:07:21.499Z,131302,0,1044.19665884562,0,0.0001446062530538744,gmgn,smart_degen,,,,
168,C,91,FKHvdDnYoWHQ2sMgM2LMg3VWyAuTdpzJS8LVMevXh9XG,https://gmgn.ai/sol/address/FKHvdDnYoWHQ2sMgM2LMg3VWyAuTdpzJS8LVMevXh9XG,,,,1,1,1.000,1,1,1,1,2026-05-11T00:31:40.000Z,2026-05-11T05:34:06.309Z,28902,0,178.41666045988,0,0.000031389557960647236,gmgn,smart_degen,padre,paper_hands,,
169,C,90.4,23RC8CTjZ6VRsFN6eEJaNNaG1Q5pj55H23Sh1phBvZud,https://gmgn.ai/sol/address/23RC8CTjZ6VRsFN6eEJaNNaG1Q5pj55H23Sh1phBvZud,,,,1,1,0.500,2,2,2,1,2026-05-10T10:54:06.000Z,2026-05-11T05:33:46.292Z,119579,0,-42.4489149406,0,0.005423634499496501,gmgn,smart_degen,padre,bundler|paper_hands,,
170,C,90.4,6bxvSqw7bzRHTPNf2ZRvywLRqJ9LFn47sHaq5sd6bk5o,https://gmgn.ai/sol/address/6bxvSqw7bzRHTPNf2ZRvywLRqJ9LFn47sHaq5sd6bk5o,JAY,jaystoolate,JAY,1,1,0.500,2,2,2,1,2026-05-10T06:23:17.000Z,2026-05-11T05:33:22.265Z,119579,0,-500.20890873176,0,0.0009016710837857914,gmgn,smart_degen,axiom|photon|gmgn,paper_hands|bundler,,
171,C,90.4,HebCWRzLJ5p8vKahEMjFQvoZi8oap977agVLLswUodr8,https://gmgn.ai/sol/address/HebCWRzLJ5p8vKahEMjFQvoZi8oap977agVLLswUodr8,,,,1,1,0.500,2,2,2,1,2026-05-10T21:01:43.000Z,2026-05-11T05:34:06.310Z,28902,0,-4.26354270601,0,0.0001090475296043463,gmgn,smart_degen,axiom,paper_hands|bundler,,
172,C,90.2,4LWXdfSb13EemLs9DqEUcPFs9LM8xvMNwxWibyt57tw5,https://gmgn.ai/sol/address/4LWXdfSb13EemLs9DqEUcPFs9LM8xvMNwxWibyt57tw5,TRADER Corporation,TRADER,TRADER Corporation,1,1,1.000,1,1,1,1,2026-05-10T20:14:27.000Z,2026-05-11T05:34:06.309Z,28902,0,131.51963772031,0,0.00018560549373564027,gmgn,smart_degen,padre|fomo,bundler|paper_hands,,
173,C,89.6,DvsVANJkMX3NmZYTVbCKhkZgr1FXYX5oHnhzN97o8hAM,https://gmgn.ai/sol/address/DvsVANJkMX3NmZYTVbCKhkZgr1FXYX5oHnhzN97o8hAM,,,,1,1,0.333,3,3,1.03,1,2026-05-10T14:26:33.000Z,2026-05-11T05:33:58.285Z,119579,0,20.2038853681,0,0.0003738628118571159,gmgn,smart_degen,axiom|trojan|padre|pepeboost,bundler|paper_hands,,
174,C,89.4,4NMLbGDzjYoBMH4Lkg5964D2XW9XAg6w9eUXJqsCUXg6,https://gmgn.ai/sol/address/4NMLbGDzjYoBMH4Lkg5964D2XW9XAg6w9eUXJqsCUXg6,,,,1,1,0.500,2,2,0.69,1,2026-05-07T22:08:18.000Z,2026-05-11T05:33:16.178Z,79098,0,37.37763939535,0,0.000053512526123172215,gmgn,smart_degen,axiom,paper_hands,,
175,C,89.2,HtHkKxYN43BdJ8QJU1srMa3bqjpncLFcZgVCX8yU3AJS,https://gmgn.ai/sol/address/HtHkKxYN43BdJ8QJU1srMa3bqjpncLFcZgVCX8yU3AJS,,,,1,1,0.333,3,3,1.03,1,2026-05-07T04:17:01.000Z,2026-05-11T05:33:16.180Z,131302,0,16.81564052843,0,0.0017882663601656817,gmgn,smart_degen,axiom|photon,paper_hands,,
176,C,88.9,5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg,https://gmgn.ai/sol/address/5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg,,,,1,1,1.000,1,1,1,3.9,2026-05-08T07:53:37.000Z,2026-05-08T08:08:34.984Z,162730,0,2532.8417810798005,0.355932,162.57432700201096,okx,kol,,,,
177,C,87,ummESHXggbAutbJ37r51H7PGKAzDivUhXL7NRTxqVr5,https://gmgn.ai/sol/address/ummESHXggbAutbJ37r51H7PGKAzDivUhXL7NRTxqVr5,,,,1,1,1.000,1,1,1,3.9,2026-05-07T04:59:19.000Z,2026-05-08T08:07:13.502Z,148507,0,205.93140098723,0,0.00005878150077706216,gmgn,smart_degen,,,,
178,C,86.8,AdcmMagw4y7wYbux9TWRTLSDR8MLUp4ZbsMSHHquuMpg,https://gmgn.ai/sol/address/AdcmMagw4y7wYbux9TWRTLSDR8MLUp4ZbsMSHHquuMpg,,,,1,1,0.250,4,3,1.37,1,2026-05-08T05:47:31.000Z,2026-05-11T05:33:46.292Z,139810,0,3.55648982011,0,0.0023316917616690892,gmgn,smart_degen,,paper_hands,,
179,C,86.1,3oe7aYLUw2Pkbm7QMAhAjn5WbzaoG9tigkrX1mAecr1P,https://gmgn.ai/sol/address/3oe7aYLUw2Pkbm7QMAhAjn5WbzaoG9tigkrX1mAecr1P,,,,1,1,0.500,2,2,2,3.9,2026-05-07T17:20:41.000Z,2026-05-08T08:07:21.497Z,131302,0,-225.90070665794622,0,0.00023312532675203078,gmgn,smart_degen,,,,
180,C,86.1,FX2MjjFCMkKWupyCQR49gdtSwEpc7fpGJKkFX4J9hjfs,https://gmgn.ai/sol/address/FX2MjjFCMkKWupyCQR49gdtSwEpc7fpGJKkFX4J9hjfs,,,,1,1,0.500,2,2,2,3.9,2026-05-07T10:02:18.000Z,2026-05-08T08:07:25.466Z,25573,0,-102.22767077685,0,0.0004568095022523564,gmgn,smart_degen,,,,
181,C,85.8,VVV4C8wbLVU5Yw2JmdF7SPmoG2ubmJmmcjzHAJcdHgH,https://gmgn.ai/sol/address/VVV4C8wbLVU5Yw2JmdF7SPmoG2ubmJmmcjzHAJcdHgH,Sunny,Sunnyikes,Sunny,1,1,0.167,6,5,2.05,1,2026-05-07T14:58:00.000Z,2026-05-11T05:33:58.285Z,131302,0,-11.850841127,0,0.0007478536288476663,gmgn,renowned,kol|gmgn,paper_hands|bundler,,
