rank,tier,priority_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,pnl_fresh,pnl_age_days,pnl_snapshot_at_iso,avg_buy_usd,sources,tags,provider_tags,token_tags,manual_rating,manual_notes
148,C,90,7y3V87V9bRr5scKMHQD8KteuRALq7odQE6S4Rc2aW2vj,https://gmgn.ai/sol/address/7y3V87V9bRr5scKMHQD8KteuRALq7odQE6S4Rc2aW2vj,,,,1,1,1.000,1,1,1,4,2026-05-07T15:44:28.000Z,2026-05-08T08:07:17.477Z,79098,0,72.57522625105946,0,no,4,2026-05-08T08:07:17.477Z,0.00008288528098755908,gmgn,smart_degen,,,,
149,C,90,E5XH7MGazFEkb2YrJAWYBFvjRr3tDE8kozWmvzR4Cyv2,https://gmgn.ai/sol/address/E5XH7MGazFEkb2YrJAWYBFvjRr3tDE8kozWmvzR4Cyv2,,,,1,1,1.000,1,1,1,4,2026-05-07T03:04:33.000Z,2026-05-08T08:07:21.503Z,131302,0,8.493049151,0,no,4,2026-05-08T08:07:21.503Z,0.000281345799481554,gmgn,smart_degen,,,,
150,C,90,F1924TJoDHGfgPACmZsKQwAuda8keVvBzqVWRgr7JHaD,https://gmgn.ai/sol/address/F1924TJoDHGfgPACmZsKQwAuda8keVvBzqVWRgr7JHaD,,,,1,1,1.000,1,1,1,4,2026-05-07T10:48:38.000Z,2026-05-08T08:07:17.475Z,79098,0,-1.73543875289,0,no,4,2026-05-08T08:07:17.475Z,0.000054436894506669384,gmgn,smart_degen,,,,
151,C,90,FbiBbTBP2Vs7b3j74eBsAYFpxWms11m23DeGmYcc8Yoo,https://gmgn.ai/sol/address/FbiBbTBP2Vs7b3j74eBsAYFpxWms11m23DeGmYcc8Yoo,,,,1,1,1.000,1,1,1,4,2026-05-07T18:06:25.000Z,2026-05-08T08:07:17.474Z,79098,126,0,0,no,4,2026-05-08T08:07:17.474Z,0.00028360609664591034,gmgn,smart_degen,,,,
152,C,90,GZVSEAajExLJEvACHHQcujBw7nJq98GWUEZtood9LM9b,https://gmgn.ai/sol/address/GZVSEAajExLJEvACHHQcujBw7nJq98GWUEZtood9LM9b,,,,1,1,1.000,1,1,1,4,2026-05-07T02:36:20.000Z,2026-05-08T08:07:21.502Z,131302,0,-123.65077098468,0,no,4,2026-05-08T08:07:21.502Z,0.0002660980633067725,gmgn,smart_degen,,,,
153,C,90,GkCG1KQcTuhHg8BBiqM2Xbyo4cWKSet4Vv6KmKvBHddz,https://gmgn.ai/sol/address/GkCG1KQcTuhHg8BBiqM2Xbyo4cWKSet4Vv6KmKvBHddz,,,,1,1,1.000,1,1,1,4,2026-05-08T06:56:07.000Z,2026-05-08T08:07:27.488Z,139810,558,0,0,no,4,2026-05-08T08:07:27.488Z,0.0000979736503421318,gmgn,smart_degen,,,,
154,C,90,Gkeqgh2SwRNBVrAKKvQ8QeUqD7GQzjrR6uqnHdtFb3kG,https://gmgn.ai/sol/address/Gkeqgh2SwRNBVrAKKvQ8QeUqD7GQzjrR6uqnHdtFb3kG,,,,1,1,1.000,1,1,1,4,2026-05-08T00:02:40.000Z,2026-05-08T08:07:13.501Z,148507,0,-917.2213324647,0,no,4,2026-05-08T08:07:13.501Z,0.0003606615478224694,gmgn,smart_degen,,,,
155,C,90,HrEdKYvkPwizrPRiFMhgdhbAjxhPX9hFCnqTRVUCWVgz,https://gmgn.ai/sol/address/HrEdKYvkPwizrPRiFMhgdhbAjxhPX9hFCnqTRVUCWVgz,,,,1,1,1.000,1,1,1,4,2026-05-07T03:11:52.000Z,2026-05-08T08:07:21.499Z,131302,0,1044.19665884562,0,no,4,2026-05-08T08:07:21.499Z,0.0001446062530538744,gmgn,smart_degen,,,,
156,C,90,ummESHXggbAutbJ37r51H7PGKAzDivUhXL7NRTxqVr5,https://gmgn.ai/sol/address/ummESHXggbAutbJ37r51H7PGKAzDivUhXL7NRTxqVr5,,,,1,1,1.000,1,1,1,4,2026-05-07T04:59:19.000Z,2026-05-08T08:07:13.502Z,148507,0,205.93140098723,0,no,4,2026-05-08T08:07:13.502Z,0.00005878150077706216,gmgn,smart_degen,,,,
157,C,89.1,FZq4muokC9HHf2mLAEiHWrvNVLxs2m8o1e68XU54J8ok,https://gmgn.ai/sol/address/FZq4muokC9HHf2mLAEiHWrvNVLxs2m8o1e68XU54J8ok,,,,1,1,0.333,3,3,2.86,0.1,2026-05-10T06:33:47.000Z,2026-05-12T06:42:32.167Z,119579,0,15.09327987354,0,yes,0.1,2026-05-12T06:42:32.167Z,0.0069670052557345655,gmgn,smart_degen,axiom,paper_hands|bundler,,
158,C,87.9,65kmABTfVidnwPzs5bfeyptpM2ewkkNewnJK6QwUSKXE,https://gmgn.ai/sol/address/65kmABTfVidnwPzs5bfeyptpM2ewkkNewnJK6QwUSKXE,,,,1,1,0.250,4,4,3.82,0.1,2026-05-10T05:34:02.000Z,2026-05-12T06:42:46.145Z,119579,0,18.18017716417,0,yes,0.1,2026-05-12T06:42:46.145Z,0.00031207290312380045,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
159,C,87.7,AtFjYrCLRZMwEXFr4pK3NShq58CGZFXZ21LDeWMUUoF4,https://gmgn.ai/sol/address/AtFjYrCLRZMwEXFr4pK3NShq58CGZFXZ21LDeWMUUoF4,,,,1,1,0.333,3,3,3,1.1,2026-05-10T20:13:15.000Z,2026-05-11T05:34:06.307Z,28902,0,16.11584785388,0,yes,1.1,2026-05-11T05:34:06.307Z,0.0001958992685119199,gmgn,smart_degen,axiom,bundler|paper_hands,,
160,C,85,14HDbSrjCJKgwCXDBXv8PGRGFaLrAqDBq2mCwSA46q5x,https://gmgn.ai/sol/address/14HDbSrjCJKgwCXDBXv8PGRGFaLrAqDBq2mCwSA46q5x,0xMistBlade 🗡️,0xMistBlade,0xMistBlade 🗡️,1,1,1.000,1,1,1,4,2026-05-07T16:26:15.000Z,2026-05-08T08:07:17.477Z,79098,0,4.764316630490517,0,no,4,2026-05-08T08:07:17.477Z,0.00017273279716154526,gmgn,renowned,kol|axiom|padre,paper_hands,,
161,C,85,2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9,https://gmgn.ai/sol/address/2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9,GH0STEE,gh0stee,GH0STEE,1,1,1.000,1,1,1,4,2026-05-08T05:08:33.000Z,2026-05-08T08:07:33.545Z,91917,0,626.80237204961,0,no,4,2026-05-08T08:07:33.545Z,0.000025749926687129796,gmgn,renowned,kol|axiom,bundler|paper_hands,,
162,C,85,4EsY8HQB4Ak65diFrSHjwWhKSGC8sKmnzyusM993gk2w,https://gmgn.ai/sol/address/4EsY8HQB4Ak65diFrSHjwWhKSGC8sKmnzyusM993gk2w,prosciutto,prosciuttosol,prosciutto,1,1,1.000,1,1,1,4,2026-05-08T02:40:03.000Z,2026-05-08T08:07:17.477Z,79098,0,-67.32241373364,0,no,4,2026-05-08T08:07:17.477Z,0.00016519642492601744,gmgn,renowned,kol|trojan,,,
163,C,85,9A4h17UgLGaVws6T1mBxzH5gkG35CUSrTfNgNK5Uj4Rp,https://gmgn.ai/sol/address/9A4h17UgLGaVws6T1mBxzH5gkG35CUSrTfNgNK5Uj4Rp,Cendol 岑铎,Cendolnice,Cendol 岑铎,1,1,0.200,5,5,1.26,0.1,2026-05-10T09:37:56.000Z,2026-05-12T06:42:38.128Z,119579,0,-127.79636366689998,0,yes,0.1,2026-05-12T06:42:38.128Z,0.00024012075846868952,gmgn,renowned,kol|axiom|photon|gmgn,paper_hands|bundler,,
164,C,85,9St6ETbe3CFitw6UNSd8kg7kZ6STXy71wEGiERqQj89U,https://gmgn.ai/sol/address/9St6ETbe3CFitw6UNSd8kg7kZ6STXy71wEGiERqQj89U,Trench Guerilla,trenchguerilla,Trench Guerilla,1,1,1.000,1,1,1,4,2026-05-06T23:52:36.000Z,2026-05-08T08:07:13.503Z,148507,0,8.08979063925,0,no,4,2026-05-08T08:07:13.503Z,0.000016053296146598953,gmgn,renowned,kol|axiom|gmgn|padre,paper_hands,,
165,C,82.4,41uh7g1DxYaYXdtjBiYCHcgBniV9Wx57b7HU7RXmx1Gg,https://gmgn.ai/sol/address/41uh7g1DxYaYXdtjBiYCHcgBniV9Wx57b7HU7RXmx1Gg,Lowskii,Lowskii_gg,Lowskii,1,1,0.500,2,2,0.69,1.1,2026-05-10T08:29:24.000Z,2026-05-11T05:33:22.266Z,119579,0,0.79745109493,0,yes,1.1,2026-05-11T05:33:22.266Z,0.0012328276642174798,gmgn,renowned,kol|axiom|bullx,paper_hands,,
166,C,81.9,C937MwaPmo2d6zxysoGeEERZZit7EC7H1R3Mem3BfUKZ,https://gmgn.ai/sol/address/C937MwaPmo2d6zxysoGeEERZZit7EC7H1R3Mem3BfUKZ,,,,1,1,0.333,3,3,2.86,0.1,2026-05-10T05:39:55.000Z,2026-05-12T06:42:34.186Z,119579,0,-0.27050001367,0,yes,0.1,2026-05-12T06:42:34.186Z,0.005222899958958245,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
167,C,81.9,CE6q7wR6NYKU1QzhQUz7T8ud7rtc7U5JequuzA6KAXmr,https://gmgn.ai/sol/address/CE6q7wR6NYKU1QzhQUz7T8ud7rtc7U5JequuzA6KAXmr,,,,1,1,0.333,3,3,2.86,0.1,2026-05-10T19:55:26.000Z,2026-05-12T06:42:32.168Z,4713,0,-2.66906205955,0,yes,0.1,2026-05-12T06:42:32.168Z,0.014134577479745685,gmgn,smart_degen,axiom,bundler|paper_hands,,
